2026-07-20 05:25:20,177 | user_id=8372409305 username=@gavrilovit | СТАРТ БОТА | chat=private(8372409305) | 
2026-07-20 05:25:20,336 | user_id=8372409305 username=@gavrilovit | ОТКРЫТА АДМИН-ПАНЕЛЬ | chat=private(8372409305) | 
2026-07-20 05:25:28,473 | user_id=6155527631 username=@safari_server | СТАРТ БОТА | chat=private(6155527631) | 
2026-07-20 05:38:43,828 | user_id=6155527631 username=@safari_server | СТАРТ БОТА | chat=private(6155527631) | 
2026-07-20 05:43:10,931 | user_id=6155527631 username=@safari_server | СТАРТ БОТА | chat=private(6155527631) | 
2026-07-20 05:46:32,128 | user_id=6155527631 username=@safari_server | СТАРТ БОТА | chat=private(6155527631) | 
2026-07-20 06:15:16,255 | user_id=6155527631 username=@safari_server | СТАРТ БОТА | chat=private(6155527631) | 
2026-07-20 06:15:33,632 | user_id=6155527631 username=@safari_server | СТАРТ БОТА | chat=private(6155527631) | 
2026-07-20 06:15:40,909 | user_id=6155527631 username=@safari_server | СТАРТ БОТА | chat=private(6155527631) | 
